objectid,filename,title,card-type,illustrator,type,format,language
onr001,netrunner_aardvark.jpg,Aardvark,Upgrade;,Fellwalker & Tolen,Image;StillImage,image/jpeg,en
onr002,netrunner_access_through_alpha.jpg,Access through Alpha,Resource;Base Link,Mark Collen,Image;StillImage,image/jpeg,en
onr003,netrunner_access_to_arasaka.jpg,Access to Arasaka,Resource;Base Link,Robert McLees,Image;StillImage,image/jpeg,en
onr004,netrunner_access_to_kiribati.jpg,Access to Kiribati,Resource;Base Link,Sue Ann Harkey,Image;StillImage,image/jpeg,en
onr005,netrunner_accounts_receivable.jpg,Accounts Receivable,Operation;Transactions,Zak Plucinski,Image;StillImage,image/jpeg,en
onr006,netrunner_acme_savings_and_loan.jpg,ACME Savings and Loan,Node;Transactions,Ramon Mascarenas,Image;StillImage,image/jpeg,en
onr007,netrunner_afreet.jpg,Afreet,Program;Daemon,Mike Kimble,Image;StillImage,image/jpeg,en
onr008,netrunner_ai_board_member.jpg,AI Board Member,Agenda;Research;AI;Random,Moebius,Image;StillImage,image/jpeg,en
onr009,netrunner_ai_boon.jpg,AI Boon,Program;Icebreaker;Random,Higgins & King,Image;StillImage,image/jpeg,en
onr010,netrunner_ai_chief_financial_officer.jpg,AI Chief Financial Officer,Agenda;Asset,Pete Venters,Image;StillImage,image/jpeg,en
onr011,netrunner_airport_locker.jpg,Airport Locker,Resource;Hidden,Zak Plucinski,Image;StillImage,image/jpeg,en
onr012,netrunner_all-hands.jpg,All-Hands,Prep,,Image;StillImage,image/jpeg,en
onr013,netrunner_all-nighter.jpg,All-Nighter,Prep,,Image;StillImage,image/jpeg,en
onr014,netrunner_annual_reviews.jpg,Annual Reviews,Operation,,Image;StillImage,image/jpeg,en
onr015,netrunner_anonymous_tip.jpg,Anonymous Tip,Prep;Sabotage,,Image;StillImage,image/jpeg,en
onr016,netrunner_antiquated_interface_routines.jpg,Antiquated Interface Routines,Upgrade,,Image;StillImage,image/jpeg,en
onr017,netrunner_arasaka_owns_you.jpg,Arasaka Owns You,Prep,,Image;StillImage,image/jpeg,en
onr018,netrunner_arasaka_portable_prototype.jpg,Arasaka Portable Prototype,Hardware;Deck,,Image;StillImage,image/jpeg,en
onr019,netrunner_armadillo_armored_road_home.jpg,"Armadillo" Armored Road Home,Hardware;Vehicle,,Image;StillImage,image/jpeg,en
onr020,netrunner_armageddon.jpg,Armageddon,Program;Virus;Random,,Image;StillImage,image/jpeg,en
onr021,netrunner_armored_fridge.jpg,Armored Fridge,Hardware,,Image;StillImage,image/jpeg,en
onr022,netrunner_artemis_2020.jpg,Artemis 2020,Hardware;Deck,,Image;StillImage,image/jpeg,en
onr023,netrunner_artificial_security_directors.jpg,Artificial Security Directors,Agenda;Research,,Image;StillImage,image/jpeg,en
onr024,netrunner_asp.jpg,Asp,Ice;Sentry;Flatline,,Image;StillImage,image/jpeg,en
onr025,netrunner_audit_of_call_records.jpg,Audit of Call Records,Operation,,Image;StillImage,image/jpeg,en
onr026,netrunner_aujourdoui.jpg,Aujourd'Oui,Resource;BBS,,Image;StillImage,image/jpeg,en
onr027,netrunner_back_door_to_hilliard.jpg,Back Door to Hilliard,Resource;Base Link,,Image;StillImage,image/jpeg,en
onr028,netrunner_back_door_to_netwatch.jpg,Back Door to Netwatch,Resource;Hidden;Base Link,,Image;StillImage,image/jpeg,en
onr029,netrunner_back_door_to_orbital_air.jpg,Back Door to Orbital Air,Resource;Base Link,,Image;StillImage,image/jpeg,en
onr030,netrunner_back_door_to_rivals.jpg,Back Door to Rivals,Resource;Base Link,,Image;StillImage,image/jpeg,en
onr031,netrunner_badtimes.jpg,Badtimes,Operation;Virus,,Image;StillImage,image/jpeg,en
onr032,netrunner_baedekers_net_map.jpg,Baedekers Net Map,Program;Base Link,,Image;StillImage,image/jpeg,en
onr033,netrunner_bakdoor.jpg,Bakdoor,Program;Base Link,,Image;StillImage,image/jpeg,en
onr034,netrunner_ball_and_chain.jpg,Ball and Chain,Ice;Code Gate,,Image;StillImage,image/jpeg,en
onr035,netrunner_banpei.jpg,Banpei,Ice;Sentry;Killer,,Image;StillImage,image/jpeg,en
onr036,netrunner_bargain_with_viacox.jpg,Bargain with Viacox,Resource;Random,,Image;StillImage,image/jpeg,en
onr037,netrunner_bartmoss_memorial_icebreaker.jpg,Bartmoss Memorial Icebreaker,Program;Icebreaker;Random,,Image;StillImage,image/jpeg,en
onr038,netrunner_baskerville.jpg,Baskerville,Ice;Sentry;AP;Hellhound;Sleepy,,Image;StillImage,image/jpeg,en
onr039,netrunner_bbs_whispering_campaign.jpg,BBS Whispering Campaign,Node;Advertisement,,Image;StillImage,image/jpeg,en
onr040,netrunner_bel-digmo_antibody.jpg,Bel-Digmo Antibody,Node;Ambush;Virus,,Image;StillImage,image/jpeg,en
onr041,netrunner_big_frackin_gun.jpg,Big Frackin' Gun,Program;Icebreaker;Killer,,Image;StillImage,image/jpeg,en
onr042,netrunner_bioweapons_engineering.jpg,Bioweapons Engineering,Agenda;Research,,Image;StillImage,image/jpeg,en
onr043,netrunner_bizarre_encryption_scheme.jpg,Bizarre Encryption Scheme,Upgrade,,Image;StillImage,image/jpeg,en
onr044,netrunner_black_dahlia.jpg,Black Dahlia,Program;Icebreaker;Killer,,Image;StillImage,image/jpeg,en
onr045,netrunner_black_ice_quality_assurance.jpg,Black Ice Quality Assurance,Agenda;Research;Black Ops,,Image;StillImage,image/jpeg,en
onr046,netrunner_black_widow.jpg,Black Widow,Program;Icebreaker;Killer,,Image;StillImage,image/jpeg,en
onr047,netrunner_blackmail.jpg,Blackmail,Prep,,Image;StillImage,image/jpeg,en
onr048,netrunner_blink.jpg,Blink,Program;Icebreaker;Random,,Image;StillImage,image/jpeg,en
onr049,netrunner_blood_cat.jpg,Blood Cat,Node;AI,,Image;StillImage,image/jpeg,en
onr050,netrunner_boardwalk.jpg,Boardwalk,Program;Virus,,Image;StillImage,image/jpeg,en
onr051,netrunner_bodyweight_data_creche.jpg,Bodyweight™ Data Creche,Hardware;Deck,,Image;StillImage,image/jpeg,en
onr052,netrunner_bodyweight_synthetic_blood.jpg,Bodyweight™ Synthetic Blood,Prep,,Image;StillImage,image/jpeg,en
onr053,netrunner_bolter_cluster.jpg,Bolter Cluster,Ice;Sentry;AP;Hellbolt,,Image;StillImage,image/jpeg,en
onr054,netrunner_bolter_swarm.jpg,Bolter Swarm,Ice;Sentry;AP;Hellbolt;Sleepy,,Image;StillImage,image/jpeg,en
onr055,netrunner_bolt-hole.jpg,Bolt-Hole,Resource;Hidden,,Image;StillImage,image/jpeg,en
onr056,netrunner_boostergang_connections.jpg,Boostergang Connections,Prep,,Image;StillImage,image/jpeg,en
onr057,netrunner_boring_bit.jpg,Boring Bit,Program;Icebreaker;Worm,,Image;StillImage,image/jpeg,en
onr058,netrunner_brain_drain.jpg,Brain Drain,Ice;Sentry;Black Ice;AP,,Image;StillImage,image/jpeg,en
onr059,netrunner_brain_wash.jpg,Brain Wash,Ice;Sentry;Black Ice;AP;Brainwipe,,Image;StillImage,image/jpeg,en
onr060,netrunner_braindance_campaign.jpg,Braindance Campaign,Node;Advertisement;Gray Ops,,Image;StillImage,image/jpeg,en
onr061,netrunner_broker.jpg,Broker,Resource;Connection,,Image;StillImage,image/jpeg,en
onr062,netrunner_bug_zapper.jpg,Bug Zapper,Ice;Sentry;AP;Hellbolt,,Image;StillImage,image/jpeg,en
onr063,netrunner_bulldozer.jpg,Bulldozer,Program;Icebreaker;Noisy,,Image;StillImage,image/jpeg,en
onr064,netrunner_butcher_boy.jpg,Butcher Boy,Program;Virus,,Image;StillImage,image/jpeg,en
onr065,netrunner_canis_major.jpg,Canis Major,Ice;Sentry;Watchdog,,Image;StillImage,image/jpeg,en
onr066,netrunner_canis_minor.jpg,Canis Minor,Ice;Sentry;Watchdog,,Image;StillImage,image/jpeg,en
onr067,netrunner_caryatid.jpg,Caryatid,Ice;Wall,,Image;StillImage,image/jpeg,en
onr068,netrunner_cascade.jpg,Cascade,Program;Virus,,Image;StillImage,image/jpeg,en
onr069,netrunner_cerberus.jpg,cerberus,,,Image;StillImage,image/jpeg,en
onr070,netrunner_chance_observation.jpg,chance observation,,,Image;StillImage,image/jpeg,en
onr071,netrunner_charity_takeover.jpg,charity takeover,,,Image;StillImage,image/jpeg,en
onr072,netrunner_chester_mix.jpg,chester mix,,,Image;StillImage,image/jpeg,en
onr073,netrunner_chiba_bank_account.jpg,chiba bank account,,,Image;StillImage,image/jpeg,en
onr074,netrunner_chicago_branch.jpg,chicago branch,,,Image;StillImage,image/jpeg,en
